full_address,name,salesman
"223 E 6TH ST, VOLGA, SD 57071",VOLGA CHRISTIAN SCHOOL,Paul Fiereck
"101 WALNUT AVE SW, WAGNER, SD 57380",WAGNER COMMUNITY SCHOOL,Paul Fiereck
"401 SOUTH BLVD SW, WALL, SD 57790",WALL SCHOOL DISTRICT 51-5,Paul Fiereck
"110 1ST AVE SW, WARNER, SD 57479",WARNER SCHOOL DISTRICT,Paul Fiereck
"200 9th St NE, WATERTOWN, SD 57201",WATERTOWN SCHOOL DIST NO 14-4,Paul Fiereck
"202 W SCHOOL ROAD, WAUBAY, SD 57273",WAUBAY SCHOOL DISTRICT 18-3,Paul Fiereck
"319 MARY PLACE, WAVERY, SD 57201",WAVERY/ SOUTH SHORESCHOOL,Paul Fiereck
"102 E 9TH AVE, WEBSTER, SD 57274",WEBSTER AREA SCHOOL DISTRICT,Paul Fiereck
"705 East 2nd St, Hartford, SD 57033",WEST CENTRAL PUBLIC SCHOOL 49-7,Paul Fiereck
"485 E 2ND ST, MISSION, SD 57555",WHITE EAGLE CHRISTIAN ACADEMY,Paul Fiereck
"502 E DIVISION ST, WHITE LAKE, SD 57383",WHITE LAKE SCHOOL DISTRICT 1-3,Paul Fiereck
"501 3rd St, White River, SD 57579",WHITE RIVER SCHOOL DISTRICT 47-1,Paul Fiereck
,WILLOW LAKE SCHOOL DISTRICT,Paul Fiereck
"800 ORDWAY ST, WILMOT, SD 57279",WILMOT SCHOOL DISTRICT,Paul Fiereck
"431 E 7TH ST, WINNER, SD 57580",WINNER SCHOOL DISTRICT 59-2,Paul Fiereck
"375 ASH ST, WOLSEY, SD 57384",WOLSEY-WESSINGTON SCHOOL DISTRICT,Paul Fiereck
"101 NORTH 2ND AVE, WOONSOCKET, SD 57385",WOONSOCKET SCHOOL DISTRICT 55-4,Paul Fiereck
"620 W 9TH ST, MOBRIDGE, SD 57601",ZION LUTHER,Paul Fiereck
"305 W. Industrial Road, Canton, SD 57013","Johnson Feeds, Inc. dba ABC Bus",Paul Fiereck
"715 Taft St, Minneapolis, MN 55413",Monarch Bus,Paul Fiereck
"18185 Vergus Ave, Prior Lake, MN 55372",Klingberg Bus Co,Paul Fiereck
"1047 Raymond Avenue, St. Paul, MN 55108",Aaccent Town Car & Limousine,Paul Fiereck
"100 MISSION DRIVE, PINE RIDGE, SD 57770",RED CLOUD INDIAN SCHOOL,Paul Fiereck
,Urban Learning Center,Paul Fiereck
"123 Crusader Avenue, West St. Paul, MN 55123",Crown of Life Lutheran School,Paul Fiereck
"102 2nd Av, Chester, SD 57016",Chester Area School District,Paul Fiereck
"8055 Wallace Road, Eden Prairie, MN 55344",Eden Prairie Schools,Paul Fiereck
"302 Dakota Ave North, Wessington Springs, SD 57382",Wessington Springs School Dist,Paul Fiereck
"PO Box 196, Bridgewater, South Dakota 57319",E&M Busline Inc,Paul Fiereck
"PO Box 2813, Rapid City, SD 57709",Rapid City Youth & Family Services,Paul Fiereck
"300 W 11th ST, Sioux Falls, SD 57104",EmBe,Paul Fiereck
"7848 SD HWY 28, Tronto, South Dakota 57286",Svennes Bus,Paul Fiereck
"245 Crazy Horse School Drive, Wanblee, South Dakota 57577",Crazy Horse School,Paul Fiereck
"200 South Loban, Colman, SD 57017",Colman-Egan,Paul Fiereck
"BOX 8, CLEARBROOK, MN 56634",CLEARBROOK-GONVICK DISTRICT #2311,Pete Dunn
"1404 3RD ST, WAUBUN, MN 56589","BEMENT, THOMAS MARVIN",Pete Dunn
"36974 COUNTY ROAD 66, CROSSLAKE, MN 56442",CROSSLAKE CUMMUNITY SCHOOLS,Pete Dunn
"1013 3rd st, WABUN, MN 56589",WABUN SCHOOL DISTRICT #435,Pete Dunn
,PINE POINT SCHOOL DISTRICT #25,Pete Dunn
"11416 Eckle Rd., BEMIDJI, MN 56601",Blom's Bus Service,Pete Dunn
,Johnson Bus Service,Pete Dunn
"437 Kroshus Drive, DILWORTH, MN 56529",Kuehl Bus Service,Pete Dunn
"PO Box 219, MOTLEY, MN 56466",Northwestern Transportation,Pete Dunn
,KVILHAUG & SON BUS SERVICE,Pete Dunn
,Kelly Richards,Pete Dunn
"123 3rd Ave SE, ROTHSAY, MN 56579",Tiger Transportation,Pete Dunn
"111 E BROADWAY ST, CLIMAX, MN 56523",CLIMAX PUBLIC SCHOOL DISTRICT #592,Pete Dunn
"260 MINNESOTA STREET SOUTH, PLUMMER, MN 56748",PLUMMER SCHOOL DIST #628,Pete Dunn
"BOX 100, OKLEE, MN 56742",OKLEE SCHOOL DIST #627,Pete Dunn
"201 N OSMUND AVE, GOODRIDGE, MN 56725",GOODRIDGE SCHOOLS,Pete Dunn
"114 N Fladeland ave, GRYGLA, MN 56727",GRYGLA SCHOOLS,Pete Dunn
"110 E CARPENTER AVE, BADGER, MN 56714",BADGER SCHOOL DISTRICT #676,Pete Dunn
"27 2nd st NW, ULEN, MN 56585",ULEN-HITTERDAL SCHOOL DIST 914,Pete Dunn
"401 CENTRAL AVE S, LANCASTER, MN 56735",LANCASTER SCHOOL DIST 356,Pete Dunn
"313 PARK AVE, FISHER, MN 56723",FISHER SCHOOL DISTRICT #600,Pete Dunn
"315 MAIN STREET W, LAPORTE, MN 56461",LAPORTE PUBLIC SCHOOL DIST #306,Pete Dunn
"BOX 39, HENDRUM, MN 56550",NORMAN COUNTY WEST SCHOOLS,Pete Dunn
"702 LAKE AVE, DETROIT LAKES, MN 56501",DETRIOT LAKES SCHOOL DISTRICTS #22,Pete Dunn
"308 West Main St, CLARISSA/eagle bend?, MN 56440",Eagle Valley Bus Service,Pete Dunn
"444 N Ash, HALLOCK, MN 56728",KITTSON CENTRAL DIST #2171,Pete Dunn
"BOX 399, RED LAKE FALLS, MN 56750",RED LAKE FALLS SCHOOLS,Pete Dunn
"100 southern ave E, UNDERWOOD, MN 56586",UNDERWOOD SCHOOL DISTRICT #550,Pete Dunn
"4838 HWY 75 S, MOORHEAD, MN 56560",Red River Trails,Pete Dunn
,KELLIHER SCHOOL DISTRICT #36,Pete Dunn
"1620 29TH AVE SOUTH, MOORHEAD, MN 56560",SCHUCK BUS SERVICE,Pete Dunn
"604 W Thorpe Avenue, ADA, MN 56510",ADA-BORUP-West SCHOOL DIST #2910,Pete Dunn
"BOX 68- 500 SCHOOL AVE, STEPHEN, MN 56757",STEPHEN ARGYLE CENTRAL #2856,Pete Dunn
"303 Pembina Trail St, KARLSTAD, MN 56732",TRI COUNTY SCHOOL DISTRICT #2358,Pete Dunn
"500 SCHOOL AVE, HENNING, MN 56551",HENNING PUBLIC SCHOOL DISTRICT 545,Pete Dunn
"25 12th Ave SW, PELICAN RAPIDS, MN 56572",Christianson Bus Company,Pete Dunn
"714 JOSEPH ST, HAWLEY, MN 56549",HAWLEY SCHOOL DISTRICT #150,Pete Dunn
"224 E BRIDGE ST, WARREN, MN 56762",WARREN/ALVARADO/OSLO DIST #21,Pete Dunn
"100 6th ave E, LAMBERTON, MN 56152","RED ROCK SCHOOLS, LAMBERTON",Pete Dunn
"408 MAIN AVE WEST, TWIN VALLEY, MN 56584",NORMAN COUNTY EAST SCHOOL DIST 2215,Pete Dunn
"904 FRONT ST SOUTH, BARNESVILLE, MN 56514",BARNESVILLE BUS CO INC,Pete Dunn
"23130 345TH ST SW, ERSKINE, MN 56535",WIN-E-MAC DIST #2609,Pete Dunn
"301 1st st E, FOSSTON, MN 56542",FOSSTON SCHOOL DISTRICT #601,Pete Dunn
,CLINTON GRAVEILLE SCHOOL DISTRICT #592,Pete Dunn
,NEVIS SCHOOL DISTRICT #308,Pete Dunn
"402 SUMMIT ST WEST, BATTLE LAKE, MN 56515",BATTLE LAKE DIST #542,Pete Dunn
"210 s mill st, FERTILE, MN 56540",FERTILE BELTRAMI SCHOOL DISTRICT #599,Pete Dunn
"PO BOX 479, LAKE PARK, MN 56554",LAKE PARK SCHOOL DISTRICT #24,Pete Dunn
"PO BOX 218 209 N.  HAYES AVE, NEW YORK MILLS, MN 56567",NEW YORK MILLS DIST #553,Pete Dunn
"PO BOX 1117, CASS LAKE, MN 56633",RIGGLES BUS SERVICE,Pete Dunn
"1110 RANDOLPH RD, DETROIT LAKES, MN 56502",SCHULTZ GARAGE & BUS COMPANY INC,Pete Dunn
"50363 317TH AVE, CASS LAKE, MN 56633",KENS BUS SERVICE,Pete Dunn
"PO BOX 70, GREENBUSH, MN 56726",GREENBUSH-MIDDLE RIVER SCHOOL DIST #2683,Pete Dunn
"810 BEEDE AVE, BRECKENRIDGE, MN 56520",BRECKENRIDGE SCHOOL DIST,Pete Dunn
"216 ASPEN AVE SE, MENAHGA, MN 56464",MENAHGA PUBLIC SCHOOLS 821,Pete Dunn
"402 FISHER AVE SUITE 593, CROOKSTON, MN 56716",CROOKSTON SCHOOL DIST #593,Pete Dunn
"15353 SILVER EAGLE DR NW, BENA, MN 56626",BUG-O-NAY-GE-SHIG SCHOOL,Pete Dunn
"705 Curry Ave, Box 349, DETRIOT LAKES, MN 56501",Olander Bus Service,Pete Dunn
,MOORHEAD SCHOOL DISTRICT #152,Pete Dunn
"BOX 4000, WALKER, MN 56484",WALKER/HACKENSACK SCHOOL DISTRICT #113,Pete Dunn
"202 BAGLEY AVE NW, BAGLEY, MN 56621",BAGLEY ISD #162,Pete Dunn
"510 CEDAR AVE, WARROAD, MN 56763",WARROAD SCHOOL DIST #690,Pete Dunn
"1900 13TH ST SE, EAST GRAND FORKS, MN 56721",EAST GRAND FORKS SCHOOLS,Pete Dunn
"4359 425th St, PERHAM, MN 56573",Bauck Bus LTD,Pete Dunn
"301 N HUNTSINGER, PARK RAPIDS, MN 56470",PARK RAPIDS SCHOOL DIST 309,Pete Dunn
"230 LABREE AVE S, THIEF RIVER FALLS, MN 56701",THIEF RIVER FALLS #564,Pete Dunn
"2139 100th Ave N, MOORHEAD, MN 56560",Richards Transportation,Pete Dunn
"PO BOX 499, REDLAKE, MN 56671",REDLAKE SCHOOL DIST #38,Pete Dunn
"100 W Juniper Ave, FRAZEE, MN 56544",Anderson Bus Company,Pete Dunn
"509 3RD ST N E, ROSEAU, MN 56751",ROSEAU SCHOOL DIST #682,Pete Dunn
,Reichert Enterprises,Pete Dunn
"3300 GILLETT DRIVE NW, BEMIDJI, MN 56601",BEMIDJI AREA SCHOOLS,Pete Dunn
"310 MINNESOTA AVE WEST, NEWFOLDEN, MN 56738",MARSHALL COUNTY CENTRAL SCHOOLS,Pete Dunn
"715 11TH ST N, MOORHEAD, MN 56560",LAKES AND PRAIRIE COMMUNITY,Pete Dunn
"312 N MAIN ST, BADGER, MN 56714","NORTHWEST COMMUNITY ACTION, INC",Pete Dunn
"2262 290th. St., WAUBURN, MN 56589",Bruce Borgrud,Pete Dunn
"3535 250TH AVE, OGEMA, MN 56569","DORMAN, TERRY",Pete Dunn
"2007 170 St N, GLYNDUN, MN 56547",Gary Leach,Pete Dunn
"39443 CTY 39, LAPORTE, MN 56461","TYSVER,WILLIAM OLIVER",Pete Dunn
,WITNER BUS,Pete Dunn
,"BENDICKSON, GARY",Pete Dunn
"115 W MONROE, MAHNOMEN, MN 56557",BRUGGEMAN BUS SERVICE,Pete Dunn
"Rt. 1 Box 203 A, OGEMA, MN 56569",Curt R Ballard,Pete Dunn
"PO Box 205, WAUBUN, MN 56589",Gary Borgrud,Pete Dunn
,Handyside Bus,Pete Dunn
,"HENDRICKS, MYRON",Pete Dunn
,Joyce Bendickson,Pete Dunn
,KEN WITNER,Pete Dunn
"1304 SECOND ST, WAUBUN, MN 56589",KERSTING BUS SERVICE,Pete Dunn
"1304 2nd. St., WAUBUN, MN 56589",Mark Kersting,Pete Dunn
"700 Trosky Rd E, EDGERTON, MN 56128",Melvin Hendricks,Pete Dunn
"34679 210th Ave, OGEMA, MN 56569",Mitch Ballard,Pete Dunn
"1346 238th.St., MAHOMEN, MN 56557",Myron Hendrickson,Pete Dunn
"2139 100TH AVE N, MOORHEAD, MN 56560","OLSON SCHOOL AND CHARTER BUS SERVICE, INC",Pete Dunn
,Randy Bartos,Pete Dunn
"2377 130th Ave, MAHNOMEN, MN 56557",Robin Bendickson,Pete Dunn
"901 Park Ave S, GLYDON, MN 56547",Seter Transportation,Pete Dunn
"PO BOX 151 1420 4TH AV NW, EAST GRAND FORKS, MN 56721",INDEPENDENT SCHOOL DISTRICT #595,Pete Dunn
,MAHNOMEN PUBLIC SCHOOLS,Pete Dunn
"300 NORTH 17TH ST, MOORHEAD, MN 56560",PARK CHRISTIAN SCHOOL,Pete Dunn
"BOX 7, PLUMMER, MN 56748",RED LAKE COUNTY CENTRAL,Pete Dunn
"122 3RD ST NW, EAST GRAND FORKS, MN 56721",SACRED HEART SCHOOLS,Pete Dunn
"200 1ST ST N W, SEBEKA, MN 56477",SEBEKA SCHOOL DIST #820,Pete Dunn
,WADENA-DEER CREEK SCHOOLS #2155,Pete Dunn
"208 CENTRAL AVE, CASSLAKE, MN 56633",CASS LAKE SCHOOLS,Pete Dunn
"ROUTE 3 BOX 100, CASS LAKE, MN 56633",LEECH LAKE HEAD START,Pete Dunn
"PO BOX 53, RED LAKE, MN 56671",RED LAKE NATION HEAD START,Pete Dunn
"P.O. Box 550, Blackduck, MN 56630-0342",Blackduck Public School District 32,Pete Dunn
"35233 Mission Road, White Earth, MN 56591",Circle of Life Academy,Pete Dunn
"1125 W RIVER RD., DETROIT LAKES, MN 56501",MAHUBE-OTWA COMMUNITY ACTION,Pete Dunn
